prd,url
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000228957&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=1
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162279&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=2
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174389&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=3
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224738&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=4
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184949&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=5
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213804&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=6
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000228944&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=7
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000150105&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=8
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000201377&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=9
Cleansing_Peeling Scrub,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213972&dispCatNo=100000100100007&trackingCd=Cat100000100100007_Small&t_page=카테고리관&t_click=필링&스크럽_전체__상품상세&t_number=10
