prd,url
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200805&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=1
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225767&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=2
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225413&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=3
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202947&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=4
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198780&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=5
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202914&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=6
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010497&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=7
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188082&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=8
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219193&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=9
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000164419&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=10
maskpack_Facial pack,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198875&dispCatNo=100000100090002&trackingCd=Cat100000100090002_Small&t_page=카테고리관&t_click=페이셜팩_전체__상품상세&t_number=11
